iter	Passed	Remaining
0	55	55845
1	104	52303
2	155	51584
3	198	49362
4	253	50419
5	296	49058
6	348	49454
7	398	49425
8	447	49300
9	494	48981
10	542	48793
11	596	49091
12	642	48744
13	718	50588
14	788	51776
15	855	52585
16	912	52745
17	961	52435
18	1016	52482
19	1070	52430
20	1131	52729
21	1188	52844
22	1236	52517
23	1285	52297
24	1346	52503
25	1394	52243
26	1442	51982
27	1495	51926
28	1546	51793
29	1602	51803
30	1653	51670
31	1713	51825
32	1761	51607
33	1813	51512
34	1894	52231
35	1961	52524
36	2025	52717
37	2086	52819
38	2156	53144
39	2216	53203
40	2281	53374
41	2345	53496
42	2460	54764
43	2564	55711
44	2691	57114
45	2794	57965
46	2904	58899
47	2976	59025
48	3049	59194
49	3095	58813
50	3201	59577
51	3325	60629
52	3391	60601
53	3434	60162
54	3482	59835
55	3529	59491
56	3581	59243
57	3644	59193
58	3695	58939
59	3744	58660
60	3794	58413
61	3846	58193
62	3905	58083
63	3956	57870
64	4007	57648
65	4049	57301
66	4096	57044
67	4142	56783
68	4187	56503
69	4229	56197
70	4277	55970
71	4335	55883
72	4403	55915
73	4463	55859
74	4512	55648
75	4559	55436
76	4607	55224
77	4653	55001
78	4696	54756
79	4748	54609
80	4788	54332
81	4830	54073
82	4905	54201
83	4958	54073
84	5006	53895
85	5051	53691
86	5100	53522
87	5139	53268
88	5188	53105
89	5237	52960
90	5289	52833
91	5335	52659
92	5381	52485
93	5428	52319
94	5473	52141
95	5523	52008
96	5570	51853
97	5617	51706
98	5660	51519
99	5711	51405
100	5752	51200
101	5799	51056
102	5847	50928
103	5893	50770
104	5940	50634
105	5987	50496
106	6033	50355
107	6077	50198
108	6127	50091
109	6174	49954
110	6227	49874
111	6384	50619
112	6467	50770
113	6515	50637
114	6564	50521
115	6609	50368
116	6654	50222
117	6705	50121
118	6749	49971
119	6799	49865
120	6845	49728
121	6892	49605
122	6939	49481
123	6984	49341
124	7032	49225
125	7076	49084
126	7125	48977
127	7173	48867
128	7220	48754
129	7266	48630
130	7313	48511
131	7354	48360
132	7403	48264
133	7451	48154
134	7497	48037
135	7544	47927
136	7585	47780
137	7632	47673
138	7680	47577
139	7728	47474
140	7774	47363
141	7819	47249
142	7869	47160
143	7914	47049
144	7970	47000
145	8018	46901
146	8079	46880
147	8139	46859
148	8215	46921
149	8273	46882
150	8317	46765
151	8363	46661
152	8419	46609
153	8468	46524
154	8518	46440
155	8564	46334
156	8615	46259
157	8659	46150
158	8709	46067
159	8754	45960
160	8804	45879
161	8846	45759
162	8893	45669
163	8937	45561
164	8983	45464
165	9036	45399
166	9081	45299
167	9129	45210
168	9170	45091
169	9216	44999
170	9265	44918
171	9307	44808
172	9359	44742
173	9410	44674
174	9460	44597
175	9527	44604
176	9612	44695
177	9659	44607
178	9710	44539
179	9752	44427
180	9799	44340
181	9846	44254
182	9894	44174
183	9941	44089
184	9988	44001
185	10032	43906
186	10079	43822
187	10128	43746
188	10169	43637
189	10220	43570
190	10260	43461
191	10313	43402
192	10358	43312
193	10410	43251
194	10459	43177
195	10507	43103
196	10556	43028
197	10598	42929
198	10648	42860
199	10711	42846
200	10758	42767
201	10805	42685
202	10854	42615
203	10902	42542
204	10967	42530
205	11034	42529
206	11095	42506
207	11159	42490
208	11217	42455
209	11287	42462
210	11352	42451
211	11419	42446
212	11520	42566
213	11631	42721
214	11747	42891
215	11843	42988
216	11952	43126
217	12072	43305
218	12124	43238
219	12175	43167
220	12226	43097
221	12273	43011
222	12323	42937
223	12371	42858
224	12419	42779
225	12466	42694
226	12515	42620
227	12563	42541
228	12610	42458
229	12653	42362
230	12699	42277
231	12741	42180
232	12787	42093
233	12834	42012
234	12879	41927
235	12924	41840
236	12969	41753
237	13013	41664
238	13067	41608
239	13114	41529
240	13172	41484
241	13232	41446
242	13282	41378
243	13339	41329
244	13413	41336
245	13497	41370
246	13563	41348
247	13608	41265
248	13665	41216
249	13722	41168
250	13781	41126
251	13832	41059
252	13889	41009
253	13939	40939
254	14012	40939
255	14098	40974
256	14169	40965
257	14249	40981
258	14313	40950
259	14359	40869
260	14422	40837
261	14482	40795
262	14539	40743
263	14604	40714
264	14659	40657
265	14714	40602
266	14768	40543
267	14821	40482
268	14879	40434
269	14937	40386
270	14993	40333
271	15045	40267
272	15097	40204
273	15153	40151
274	15209	40097
275	15263	40039
276	15319	39984
277	15380	39946
278	15432	39881
279	15490	39833
280	15549	39786
281	15602	39726
282	15654	39662
283	15715	39619
284	15776	39579
285	15826	39511
286	15886	39466
287	15948	39429
288	15999	39363
289	16043	39278
290	16092	39208
291	16138	39130
292	16184	39053
293	16228	38970
294	16279	38904
295	16324	38826
296	16372	38753
297	16423	38687
298	16467	38606
299	16520	38548
300	16566	38471
301	16613	38397
302	16659	38322
303	16709	38255
304	16757	38185
305	16801	38104
306	16855	38048
307	16904	37980
308	16953	37911
309	17023	37890
310	17077	37834
311	17124	37761
312	17177	37701
313	17234	37652
314	17286	37591
315	17335	37524
316	17389	37466
317	17436	37394
318	17486	37329
319	17530	37251
320	17580	37188
321	17627	37115
322	17677	37051
323	17723	36979
324	17778	36923
325	17823	36849
326	17871	36782
327	17916	36707
328	17961	36632
329	18009	36565
330	18059	36499
331	18118	36454
332	18162	36379
333	18215	36321
334	18258	36244
335	18309	36183
336	18354	36110
337	18398	36035
338	18441	35958
339	18490	35893
340	18534	35819
341	18580	35749
342	18629	35684
343	18673	35610
344	18724	35549
345	18773	35484
346	18817	35411
347	18866	35347
348	18908	35269
349	18963	35217
350	19006	35143
351	19050	35070
352	19101	35010
353	19151	34948
354	19200	34884
355	19247	34818
356	19297	34757
357	19341	34684
358	19388	34618
359	19428	34539
360	19480	34482
361	19530	34420
362	19578	34356
363	19628	34295
364	19677	34233
365	19725	34168
366	19774	34106
367	19828	34052
368	19870	33979
369	19921	33920
370	19967	33853
371	20021	33799
372	20072	33740
373	20122	33680
374	20170	33617
375	20216	33550
376	20263	33486
377	20311	33422
378	20363	33366
379	20414	33307
380	20464	33248
381	20512	33185
382	20562	33124
383	20610	33062
384	20660	33002
385	20704	32934
386	20753	32872
387	20798	32805
388	20845	32742
389	20888	32671
390	20932	32603
391	20980	32541
392	21031	32483
393	21075	32415
394	21128	32361
395	21174	32296
396	21221	32233
397	21269	32171
398	21318	32111
399	21365	32047
400	21411	31983
401	21456	31917
